fact_sales_id,product_key,business_partner_key,created_date_key,modified_date_key,employee_key,order_id,item_id,sls_order_product_id,sls_order_quantity,sls_order_net_amount,total_price,order_created_by,order_created_at,order_changed_by,order_changed_at,order_fiscal_variant,order_fiscal_year_period,order_partner_id,order_org,currency,order_gross_amount,order_net_amount,order_tax_amount,lifecycle_status,billing_status,delivery_status,dwh_create_date
1,32,23,-1324458206837315264,845742410342984507,0000000004,0500000000,0000000010,MB-1034,4,2186.625,8746.500,0000000004,2018-01-11,0000000004,2018-01-16,K4,2018-01-31,0100000022,APJ,USD,13587,11888.625,1698.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
2,7,23,-1324458206837315264,845742410342984507,0000000004,0500000000,0000000020,CB-1161,9,349.125,3142.125,0000000004,2018-01-11,0000000004,2018-01-16,K4,2018-01-31,0100000022,APJ,USD,13587,11888.625,1698.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
3,27,27,-9328808271128517,-7917083447545164330,0000000002,0500000001,0000000010,HB-1175,2,786.625,1573.250,0000000002,2018-01-12,0000000002,2018-01-15,K4,2018-01-31,0100000026,EMEA,USD,12622,11044.250,1577.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
4,38,27,-9328808271128517,-7917083447545164330,0000000002,0500000001,0000000020,RC-1056,2,2186.625,4373.250,0000000002,2018-01-12,0000000002,2018-01-15,K4,2018-01-31,0100000026,EMEA,USD,12622,11044.250,1577.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
5,10,27,-9328808271128517,-7917083447545164330,0000000002,0500000001,0000000030,CC-1021,3,1001.000,3003.000,0000000002,2018-01-12,0000000002,2018-01-15,K4,2018-01-31,0100000026,EMEA,USD,12622,11044.250,1577.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
6,7,27,-9328808271128517,-7917083447545164330,0000000002,0500000001,0000000040,CB-1161,6,349.125,2094.750,0000000002,2018-01-12,0000000002,2018-01-15,K4,2018-01-31,0100000026,EMEA,USD,12622,11044.250,1577.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
7,27,19,2895566243265439264,8041884244069597747,0000000005,0500000002,0000000010,HB-1175,6,786.625,4719.750,0000000005,2018-01-15,0000000005,2018-01-20,K4,2018-01-31,0100000018,APJ,USD,45655,39948.125,5706.875,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
8,37,19,2895566243265439264,8041884244069597747,0000000005,0500000002,0000000020,RC-1055,3,1749.125,5247.375,0000000005,2018-01-15,0000000005,2018-01-20,K4,2018-01-31,0100000018,APJ,USD,45655,39948.125,5706.875,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
9,13,19,2895566243265439264,8041884244069597747,0000000005,0500000002,0000000030,DB-1081,3,1311.625,3934.875,0000000005,2018-01-15,0000000005,2018-01-20,K4,2018-01-31,0100000018,APJ,USD,45655,39948.125,5706.875,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
10,18,19,2895566243265439264,8041884244069597747,0000000005,0500000002,0000000040,EB-1133,10,1968.750,19687.500,0000000005,2018-01-15,0000000005,2018-01-20,K4,2018-01-31,0100000018,APJ,USD,45655,39948.125,5706.875,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
